,time,1604,1656,1834,3626,4680,5990,9529,10772,11437,13544,15669,16193,17687,17704,18360,18653,19010,19445,19446,21527,23080,23552,24299,25831,26493,26754,27472,31042,32005,32432,33441,33486,34088,34116,34595,37170,41152,41399,41496,41650,45474,47100,47993,49599,49705,53727,54295,57157,57235,57666,58240,58255,59338,60908,63446,63936,64630,64888,65166,66839,69560,70151,71035,72640,74688,74861,75948,76243,76423,76908,77908,80327,81230,81512,81682,82064,83208,83834,83843,84752,85853,86683,86756,87524,88072,92599,95183,97302,97566,98996,99260,99481,100198,101779,102005,103401,105654,105940,106254
11,2022-04-20,,0.0,0.17,,,0.82,0.0,0.77,,,,,,,0.0,,0.07,,,1.18,,1.12,,,,,0.41,,0.05,,,0.17,,,,,,,,,0.07,0.93,,,0.14,,,,,,,,0.94,,,,,,0.94,1.43,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.13,,,,,,0.0,0.18,0.03,0.0,0.17,,,,,,,
12,2022-04-25,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,7.0,,,,,,,,,,,,,,0.08,,,,,,,,,,,,1.0,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022-04-28,,,,0.87,,,,,,0.69,1.11,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,0.54,,,,,,,,,,,,,,,,0.73,0.22,,,,
14,2022-04-30,0.0,0.0,0.06,,,0.38,0.13,0.37,0.0,,,0.06,0.16,0.05,0.0,0.04,0.0,0.0,0.17,0.12,,0.13,0.0,0.14,0.04,0.85,0.04,3.94,0.24,0.62,,0.25,0.0,0.42,0.54,,0.2,0.17,0.08,0.13,0.06,0.03,0.0,,0.16,0.0,,0.18,2.72,0.35,0.15,,1.2,0.06,0.11,,0.0,0.0,0.82,0.0,0.03,0.08,0.0,,0.22,0.19,0.0,0.43,0.0,0.0,,0.21,0.0,0.47,0.0,0.1,0.13,,0.0,,0.03,0.14,0.13,0.68,0.0,0.0,0.95,0.34,0.0,0.02,0.0,0.08,0.0,,,0.0,0.29,0.0,0.02
15,2022-05-03,,,,0.33,0.15,,,,,0.0,0.21,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,0.09,,,,,,,0.02,,1.2,,,,,,,,,,,,,,0.0,0.0,,,,
16,2022-05-05,0.3,0.0,0.0,,,0.54,0.0,0.0,,,,0.0,,0.0,,0.47,0.34,,,0.15,,0.16,,,0.2,,,6.65,,,0.21,0.09,,0.44,0.47,,0.39,,,,,,,,0.12,0.0,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.02,0.11,,,,,,,0.0,0.0,0.0,0.71,0.25,,0.0,,,,,,,,,,,0.0,0.8,,0.0,,,,,0.0,
17,2022-05-10,0.01,0.0,0.0,,,0.96,0.08,0.16,0.0,,,0.16,,,0.0,0.0,0.0,0.0,0.16,0.23,,0.16,0.05,0.14,0.01,0.97,0.01,,0.25,0.62,0.0,0.19,0.0,0.46,0.46,,0.25,0.07,0.15,0.3,0.03,0.62,0.0,0.13,0.32,0.0,0.0,0.07,,0.24,0.2,0.0,1.26,,0.19,0.02,0.0,0.0,0.66,1.1,0.04,0.08,0.0,,0.05,0.22,0.05,0.35,0.0,0.0,,0.0,0.0,0.65,0.0,0.25,0.13,,0.0,,0.01,0.07,0.0,0.9,0.0,0.0,1.09,0.34,0.03,0.0,0.0,0.12,0.03,,,0.01,0.31,0.0,0.0
18,2022-05-15,,0.0,0.0,,,0.85,0.05,0.07,0.0,,,0.01,0.12,0.04,0.0,0.0,0.0,0.0,0.17,0.23,,0.15,0.33,0.12,0.04,0.97,0.0,0.0,0.26,0.62,0.0,0.17,0.0,0.61,0.58,,0.27,0.01,0.29,0.07,0.08,0.3,0.0,0.17,0.22,0.0,0.0,0.1,0.0,,0.13,0.0,1.55,0.14,0.16,0.0,0.0,0.0,1.24,,0.08,0.04,0.0,,0.12,0.22,0.0,0.39,0.0,0.0,,0.07,,0.62,0.0,0.13,0.15,,0.0,,0.0,0.08,0.03,0.84,0.0,0.0,1.19,0.38,,0.0,,0.18,0.0,,,0.08,0.29,0.0,0.0
19,2022-05-18,,,,,0.34,,,,,,0.26,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,0.44,,,,,,,0.33,,0.95,,,,,,,,,,,,,,0.15,0.0,,,,
20,2022-05-20,0.0,0.0,0.0,,,1.15,0.13,0.21,0.0,,,0.06,0.2,0.2,0.0,0.0,0.0,0.0,0.24,0.23,,0.3,0.06,0.16,0.09,1.1,0.11,0.0,0.39,,0.0,0.21,0.0,1.04,1.1,,0.34,0.06,0.35,0.15,0.21,0.01,0.09,0.18,,,0.0,0.25,,0.31,0.16,0.06,1.64,0.13,0.33,0.04,0.1,0.04,0.15,0.07,0.19,,0.0,,0.26,0.26,0.0,0.52,0.0,0.0,,0.24,0.54,0.73,0.0,0.09,,,0.0,,0.04,0.27,0.2,0.64,0.0,0.0,,0.38,0.0,,0.0,0.18,0.09,,,0.29,0.28,0.0,0.1
21,2022-05-25,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022-05-28,,,,0.27,1.2,,,,,0.0,0.7,,,,,,,,,,1.9,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,
23,2022-05-30,0.0,,0.0,,,,,,0.0,,,0.0,0.07,0.0,,0.0,0.08,0.0,0.03,,,,,,0.28,0.85,0.11,,,0.24,0.21,0.0,0.0,0.72,0.26,,0.42,0.0,,0.09,0.0,,0.0,,,0.0,0.0,,,,,,,,0.07,0.0,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.29,,,0.0,,,0.0,0.99,0.78,0.12,0.0,2.06,,0.0,0.0,,,,,,0.9,,0.0,
24,2022-06-02,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,
25,2022-06-04,0.15,0.6,,,,1.64,0.02,0.14,0.0,,,0.02,0.2,0.32,,,,,0.0,,,0.0,0.15,0.16,,1.17,0.16,0.72,0.15,0.39,0.34,,,0.47,0.43,,0.52,0.0,,0.34,0.19,0.51,,0.53,,0.0,0.0,0.0,,,,0.0,2.23,1.7,0.14,0.16,0.0,1.23,0.0,1.81,0.0,0.09,0.18,,0.36,0.21,0.35,0.56,,,,,0.0,,,,,,0.0,,,0.0,0.73,0.88,,0.18,1.84,,,,0.0,1.49,0.0,,,,0.22,1.06,
26,2022-06-12,,,,2.08,1.76,,,,,0.41,2.43,,,,,,,,,,1.46,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,1.12,,,,,,,1.36,,,,,,,,,,,,,,,,,0.4,,,,
27,2022-06-14,,,,,,1.63,,,,,,,,,0.96,,,,,1.31,,0.76,1.3,,,,,,1.55,,,,,,,,,,,,,1.64,,,,,,,,,,0.36,,1.62,,,0.36,,1.39,2.7,,,,,1.04,,,,,,,,,1.37,,,0.53,,0.82,,,0.81,,,,,3.67,,,,0.4,0.86,,,,,1.15,1.29,
28,2022-06-17,,,,2.37,2.12,,,,,0.39,2.81,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,2.52,,2.57,,,,,,,,,,,,,,,,,,,
29,2022-06-19,1.47,1.87,1.74,,,2.22,1.02,,0.0,,,0.63,0.95,1.57,0.0,1.55,0.71,0.9,0.82,1.79,,0.8,1.92,2.07,3.03,1.81,2.06,4.72,1.2,1.59,2.19,1.28,1.21,1.76,1.72,,1.17,1.39,1.18,2.09,1.17,1.74,1.59,1.06,1.89,0.86,0.36,0.43,0.12,0.83,1.53,0.56,1.14,2.9,0.61,2.01,0.14,1.08,0.15,3.32,0.66,1.02,1.95,,1.92,0.71,0.0,1.9,0.44,0.45,,1.03,0.75,1.1,1.72,2.55,0.39,,1.15,,0.46,0.75,0.77,2.13,2.27,,2.08,0.8,1.1,1.35,0.31,0.33,0.41,,,4.4,1.28,,0.29
30,2022-06-24,,,,,,,,,,,,,,,,,,2.99,,,,,3.05,4.7,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022-06-27,,,,5.07,3.83,,,,,2.41,6.01,,,,,,,,,,5.58,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,3.96,,,,,,,,,4.57,,,,,,,,,,,,,,3.27,2.7,,,,
32,2022-07-02,,,,7.0,3.86,,,,,3.41,7.0,,,,,,,,,,6.87,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,,,,,,5.08,,,,,,,3.13,,6.14,,,,,,,,,,,,,,4.35,3.85,,,,
33,2022-07-04,,,,,,,,,,,,,2.87,,1.01,,,1.19,3.67,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,4.01,2.64,,,,,,,,,,,,,4.39,,,,,1.72,,,,,,3.27,,,,1.72,,,,,,1.4,,,,,,,,,,,,,,,,
