,time,1105,1520,1827,2852,4534,5851,7139,7883,8202,8371,8853,8941,9054,9077,9511,9641,11001,11429,11447,11485,11741,11939,11988,12038,12299,12327,13019,14340,15045,15741,16318,18536,19016,19113,19672,19684,20824,21242,21297,22208,22877,25055,25472,25865,26126,27035,27323,28310,29696,30481,31123,33108,33329,33487,33871,34041,34079,34304,34700,35881,36112,36345,36751,37096,38111,38880,38896,39534,39582,39615,40395,40527,41540,41587,41919,42012,42028,42049,42300,42897,44827,45178,45183,45266,46358,47359,47520,48638,48738,48921,49000,49139,50510,50531,50646,51380,51869,52327,53045
23,2022-05-28,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,2.55,,,,,,,,,,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022-05-30,,,2.89,,,,,2.04,3.04,,1.33,2.4,4.75,,6.01,,,,3.84,,,,,,3.02,1.71,,,,,,,,7.0,,,6.47,,,1.78,1.88,,,,,3.88,,0.0,,,,2.31,,,1.48,,,,,,,,4.76,,,3.67,7.0,,,1.31,2.75,,,,7.0,,3.4,,2.17,4.99,,,,2.92,,,2.4,6.65,5.79,,,3.7,,,,,,,
25,2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022-06-04,,3.39,1.94,,1.21,1.3,3.3,1.32,2.54,3.55,1.94,,,,5.43,,,4.39,2.6,,2.01,6.36,5.13,4.44,,1.96,1.45,,3.61,,1.8,,2.71,5.78,2.91,2.01,,,,1.84,2.3,3.23,,7.0,1.99,3.01,,0.73,3.3,,,2.19,,2.88,2.58,2.8,,1.72,0.62,1.49,3.64,3.06,,2.49,,2.8,5.78,2.31,,1.05,,,5.25,6.3,7.0,6.62,,2.4,,3.27,,1.44,2.58,,1.05,,1.93,4.94,3.81,,,2.96,,2.14,,3.91,0.71,3.67,
27,2022-06-12,,,,1.08,,,,,,,,,,,,,1.05,,,,,,,,,,,2.1,,,,,,,,,,,3.55,,,,1.91,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022-06-14,,,,,1.51,1.87,2.24,,,2.06,,,,3.7,1.37,,,2.37,,,,2.75,4.9,,6.12,2.1,,,0.9,,,2.63,2.14,,,0.78,4.3,,,,,2.4,,,,,2.63,,2.07,1.63,0.82,,2.3,,,,1.23,,,,,,,,,,1.93,1.52,0.94,,,,,,,5.78,,,,,0.85,,,,1.41,,0.78,,3.15,,2.28,,2.41,,0.61,,,1.05,
29,2022-06-17,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022-06-19,0.82,2.87,,,1.31,,1.63,0.3,0.9,2.57,1.19,,3.55,2.15,0.71,1.54,,1.14,,0.4,2.61,3.99,2.92,2.15,4.03,1.33,2.32,,0.34,2.2,2.15,,2.37,2.45,1.65,0.78,3.41,,,1.42,0.54,1.89,,3.98,0.39,1.65,1.59,0.8,1.49,0.73,0.28,0.49,1.01,1.65,1.06,1.18,0.39,0.8,0.77,0.45,2.59,1.02,0.37,0.31,,1.01,2.1,0.72,1.35,0.31,3.33,,1.63,2.97,4.2,5.43,2.55,2.61,0.9,2.3,0.63,1.45,0.77,1.59,0.55,1.66,1.16,1.14,,0.57,1.58,0.96,,0.34,0.49,2.4,0.71,0.35,1.41
31,2022-06-21,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022-06-24,,,,,,,,,,2.48,,,,,,,,,,,,,,1.98,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
33,2022-06-27,,,,0.23,,,,,,,,,,,,,0.2,,,,,,,,,,,0.77,,,,,,,,,,0.87,0.57,,,,1.26,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022-07-01,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-07-02,,,,0.09,,,,,,,,,,,,,0.15,,,,,,,,,,,0.8,,,,,,,,,,0.65,0.27,,,,1.29,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-07-04,,,2.52,,1.51,1.44,,,,1.4,,2.62,2.92,1.73,,1.11,,,,,2.99,2.1,2.3,,2.7,,,,,0.86,0.92,0.53,0.66,2.19,0.65,,1.88,,,,1.44,,,1.76,,1.02,0.6,,,,,0.51,0.78,,,1.99,0.36,0.6,0.93,,,,,,,,0.53,,1.15,,4.12,,,0.35,1.23,1.37,2.03,1.64,0.0,2.08,,,0.69,2.49,,1.32,,,,0.78,,0.55,1.35,,1.25,,,,
